year,city,country,avg_temp
1945,Hyderabad,India,26.70
1946,Hyderabad,India,26.93
1947,Hyderabad,India,27.07
1948,Hyderabad,India,27.26
1949,Hyderabad,India,26.86
1950,Hyderabad,India,26.88
1951,Hyderabad,India,27.10
1952,Hyderabad,India,27.28
1953,Hyderabad,India,27.44
1954,Hyderabad,India,27.03
1955,Hyderabad,India,26.81
1956,Hyderabad,India,26.79
1957,Hyderabad,India,27.24
1958,Hyderabad,India,27.55
1959,Hyderabad,India,27.38
1960,Hyderabad,India,27.31
1961,Hyderabad,India,27.04
1962,Hyderabad,India,26.73
1963,Hyderabad,India,26.81
1964,Hyderabad,India,27.20
1965,Hyderabad,India,27.21
1966,Hyderabad,India,27.46
1967,Hyderabad,India,27.01
1968,Hyderabad,India,26.90
1969,Hyderabad,India,27.34
1970,Hyderabad,India,26.84
1971,Hyderabad,India,26.71
1972,Hyderabad,India,27.68
1973,Hyderabad,India,27.63
1974,Hyderabad,India,27.01
1975,Hyderabad,India,26.72
1976,Hyderabad,India,27.12
1977,Hyderabad,India,27.32
1978,Hyderabad,India,27.01
1979,Hyderabad,India,27.67
1980,Hyderabad,India,27.70
1981,Hyderabad,India,27.10
1982,Hyderabad,India,27.43
1983,Hyderabad,India,27.35
1984,Hyderabad,India,27.38
1985,Hyderabad,India,27.51
1986,Hyderabad,India,27.71
1987,Hyderabad,India,27.54
1988,Hyderabad,India,27.44
1989,Hyderabad,India,27.06
1990,Hyderabad,India,26.91
1991,Hyderabad,India,27.35
1992,Hyderabad,India,27.24
1993,Hyderabad,India,27.24
1994,Hyderabad,India,27.07
1995,Hyderabad,India,27.24
1996,Hyderabad,India,27.37
1997,Hyderabad,India,27.47
1998,Hyderabad,India,27.87
1999,Hyderabad,India,27.24
2000,Hyderabad,India,27.23
2001,Hyderabad,India,27.56
2002,Hyderabad,India,27.67
2003,Hyderabad,India,27.84
2004,Hyderabad,India,27.23
2005,Hyderabad,India,27.49
2006,Hyderabad,India,27.47
2007,Hyderabad,India,27.55
2008,Hyderabad,India,27.45
2009,Hyderabad,India,28.03
2010,Hyderabad,India,27.69
2011,Hyderabad,India,27.41
2012,Hyderabad,India,28.02
2013,Hyderabad,India,28.85
1796,Hyderabad,Pakistan,26.46
1797,Hyderabad,Pakistan,27.87
1798,Hyderabad,Pakistan,25.96
1799,Hyderabad,Pakistan,26.72
1800,Hyderabad,Pakistan,26.64
1801,Hyderabad,Pakistan,25.89
1802,Hyderabad,Pakistan,27.05
1803,Hyderabad,Pakistan,26.80
1804,Hyderabad,Pakistan,27.10
1805,Hyderabad,Pakistan,26.73
1806,Hyderabad,Pakistan,26.65
1807,Hyderabad,Pakistan,26.34
1808,Hyderabad,Pakistan,
1809,Hyderabad,Pakistan,
1810,Hyderabad,Pakistan,
1811,Hyderabad,Pakistan,
1812,Hyderabad,Pakistan,
1813,Hyderabad,Pakistan,25.99
1814,Hyderabad,Pakistan,25.34
1815,Hyderabad,Pakistan,25.52
1816,Hyderabad,Pakistan,25.06
1817,Hyderabad,Pakistan,25.28
1818,Hyderabad,Pakistan,25.97
1819,Hyderabad,Pakistan,25.43
1820,Hyderabad,Pakistan,25.60
1821,Hyderabad,Pakistan,26.22
1822,Hyderabad,Pakistan,26.28
1823,Hyderabad,Pakistan,26.02
1824,Hyderabad,Pakistan,26.72
1825,Hyderabad,Pakistan,26.55
1826,Hyderabad,Pakistan,26.54
1827,Hyderabad,Pakistan,26.80
1828,Hyderabad,Pakistan,26.33
1829,Hyderabad,Pakistan,26.13
1830,Hyderabad,Pakistan,26.51
1831,Hyderabad,Pakistan,25.85
1832,Hyderabad,Pakistan,26.09
1833,Hyderabad,Pakistan,26.25
1834,Hyderabad,Pakistan,26.30
1835,Hyderabad,Pakistan,25.44
1836,Hyderabad,Pakistan,25.90
1837,Hyderabad,Pakistan,25.78
1838,Hyderabad,Pakistan,25.78
1839,Hyderabad,Pakistan,25.92
1840,Hyderabad,Pakistan,26.04
1841,Hyderabad,Pakistan,25.86
1842,Hyderabad,Pakistan,26.23
1843,Hyderabad,Pakistan,26.14
1844,Hyderabad,Pakistan,25.82
1845,Hyderabad,Pakistan,26.03
1846,Hyderabad,Pakistan,
1847,Hyderabad,Pakistan,
1848,Hyderabad,Pakistan,25.97
1849,Hyderabad,Pakistan,26.00
1850,Hyderabad,Pakistan,26.07
1851,Hyderabad,Pakistan,26.18
1852,Hyderabad,Pakistan,26.19
1853,Hyderabad,Pakistan,26.26
1854,Hyderabad,Pakistan,26.39
1855,Hyderabad,Pakistan,26.52
1856,Hyderabad,Pakistan,25.42
1857,Hyderabad,Pakistan,25.74
1858,Hyderabad,Pakistan,
1859,Hyderabad,Pakistan,
1860,Hyderabad,Pakistan,
1861,Hyderabad,Pakistan,
1862,Hyderabad,Pakistan,
1863,Hyderabad,Pakistan,
1864,Hyderabad,Pakistan,
1865,Hyderabad,Pakistan,
1866,Hyderabad,Pakistan,
1867,Hyderabad,Pakistan,
1868,Hyderabad,Pakistan,
1869,Hyderabad,Pakistan,
1870,Hyderabad,Pakistan,26.30
1871,Hyderabad,Pakistan,26.30
1872,Hyderabad,Pakistan,26.30
1873,Hyderabad,Pakistan,26.44
1874,Hyderabad,Pakistan,25.89
1875,Hyderabad,Pakistan,26.59
1876,Hyderabad,Pakistan,26.37
1877,Hyderabad,Pakistan,26.54
1878,Hyderabad,Pakistan,26.49
1879,Hyderabad,Pakistan,25.98
1880,Hyderabad,Pakistan,26.63
1881,Hyderabad,Pakistan,26.52
1882,Hyderabad,Pakistan,26.22
1883,Hyderabad,Pakistan,25.95
1884,Hyderabad,Pakistan,26.14
1885,Hyderabad,Pakistan,26.18
1886,Hyderabad,Pakistan,26.49
1887,Hyderabad,Pakistan,26.38
1888,Hyderabad,Pakistan,26.29
1889,Hyderabad,Pakistan,26.62
1890,Hyderabad,Pakistan,26.36
1891,Hyderabad,Pakistan,26.43
1892,Hyderabad,Pakistan,26.90
1893,Hyderabad,Pakistan,25.79
1894,Hyderabad,Pakistan,26.02
1895,Hyderabad,Pakistan,26.60
1896,Hyderabad,Pakistan,27.04
1897,Hyderabad,Pakistan,26.62
1898,Hyderabad,Pakistan,26.93
1899,Hyderabad,Pakistan,27.00
1900,Hyderabad,Pakistan,27.01
1901,Hyderabad,Pakistan,26.75
1902,Hyderabad,Pakistan,27.34
1903,Hyderabad,Pakistan,26.31
1904,Hyderabad,Pakistan,26.80
1905,Hyderabad,Pakistan,26.23
1906,Hyderabad,Pakistan,26.37
1907,Hyderabad,Pakistan,26.40
1908,Hyderabad,Pakistan,26.16
1909,Hyderabad,Pakistan,26.08
1910,Hyderabad,Pakistan,26.11
1911,Hyderabad,Pakistan,26.29
1912,Hyderabad,Pakistan,26.91
1913,Hyderabad,Pakistan,26.38
1914,Hyderabad,Pakistan,26.62
1915,Hyderabad,Pakistan,26.93
1916,Hyderabad,Pakistan,26.47
1917,Hyderabad,Pakistan,25.97
1918,Hyderabad,Pakistan,26.23
1919,Hyderabad,Pakistan,26.37
1920,Hyderabad,Pakistan,26.70
1921,Hyderabad,Pakistan,26.95
1922,Hyderabad,Pakistan,26.56
1923,Hyderabad,Pakistan,26.17
1924,Hyderabad,Pakistan,26.61
1925,Hyderabad,Pakistan,26.64
1926,Hyderabad,Pakistan,26.61
1927,Hyderabad,Pakistan,26.17
1928,Hyderabad,Pakistan,26.72
1929,Hyderabad,Pakistan,26.53
1930,Hyderabad,Pakistan,26.45
1931,Hyderabad,Pakistan,27.01
1932,Hyderabad,Pakistan,26.80
1933,Hyderabad,Pakistan,26.51
1934,Hyderabad,Pakistan,26.41
1935,Hyderabad,Pakistan,26.21
1936,Hyderabad,Pakistan,26.65
1937,Hyderabad,Pakistan,26.35
1938,Hyderabad,Pakistan,26.47
1939,Hyderabad,Pakistan,26.47
1940,Hyderabad,Pakistan,26.79
1941,Hyderabad,Pakistan,27.37
